"id","name","alternative_name","country_name","is_active"
138,"Air Partner","\N","United Kingdom","N"
139,"Air Caledonie International","\N","France","Y"
140,"Air Caledonia","\N","Canada","N"
141,"Air Guam","\N","United States","N"
142,"Air Gabon","\N","Gabon","N"
143,"Air Data","\N","United Kingdom","N"
144,"Air Afrique Vacancies","\N","Ivory Coast","N"
145,"Air Cargo America","\N","United States","N"
146,"Air Salone","\N","Sierra Leone","Y"
147,"Air-Angol","\N","Angola","N"
148,"Air Nigeria","\N","Nigeria","N"
149,"Air Cargo Carriers","\N","United States","Y"
150,"Air Samarkand","\N","Uzbekistan","N"
151,"Air Senegal International","\N","Senegal","N"
152,"Air Sandy","\N","Canada","N"
153,"Air Namibia","\N","Namibia","Y"
154,"Air Intersalonika","\N","Greece","N"
155,"Air Anatolia","\N","Turkey","N"
156,"Air Saigon","\N","Vietnam","N"
157,"Afrique Regional Airways","\N","Ivory Coast","N"
158,"Airfreight Express","\N","United Kingdom","N"
159,"Africa Chartered Services","\N","Nigeria","N"
160,"Africa Freight Services","\N","Zambia","N"
161,"Aeronaves Del Centro","\N","Venezuela","N"
162,"Air Service Gabon","\N","Gabon","N"
163,"Arab Agricultural Aviation Company","\N","Egypt","N"
164,"Atlantic Gulf Airlines","\N","United States","N"
165,"Aerolitoral","\N","Mexico","Y"
166,"Algoma Airways","\N","Canada","N"
167,"Altagna","\N","France","N"
168,"Angola Air Charter","\N","Angola","N"
169,"Angola Air Charter","\N","Angola","N"
170,"AERFI Group","\N","Ireland","N"
171,"Aerogala","\N","Chile","N"
172,"Amadeus Global Travel Distribution","\N","Spain","N"
173,"Angara Airlines","\N","Russia","N"
174,"Air Glaciers","\N","Switzerland","Y"
175,"Aero Gambia","\N","Gambia","N"
176,"Aviogenex","\N","Serbia","Y"
177,"Atlantic Coast Airlines","\N","United States","N"
178,"Aero Barloz","\N","Mexico","N"
179,"Aeroper","\N","Peru","Y"
180,"Atlas Blue","\N","Morocco","Y"
181,"Aero Banobras","\N","Mexico","N"
182,"Aero Flight Service","\N","United States","N"
183,"Agrolet-Mci","\N","Slovakia","N"
184,"Air Alpha Greenland","\N","Denmark","N"
185,"Azal Avia Cargo","\N","Azerbaijan","N"
186,"Airport Helicopter Basel","\N","AIRPORT HELICOPTER","N"
187,"Aeroservices Corporate","\N","France","N"
188,"Aspen Helicopters","\N","United States","N"
189,"Aerochago Airlines","\N","Dominican Republic","N"
190,"Airplanes Holdings","\N","Ireland","N"
191,"Air Hong Kong","\N","Hong Kong","N"
192,"Aerochiapas","\N","Mexico","N"
193,"Air Adriatic","\N","Croatia","N"
194,"Air Viggi San Raffaele","\N","Italy","N"
195,"ABC Air Hungary","\N","Hungary","N"
196,"Aeromist-Kharkiv","\N","Ukraine","N"
197,"Azerbaijan Airlines","\N","Azerbaijan","Y"
198,"Avies","\N","Estonia","Y"
199,"Airbus Industrie","\N","France","N"
200,"Alpine Air Chile","\N","Chile","N"
201,"Air Integra","\N","Canada","N"
202,"ABC Aerolineas","\N","Mexico","N"
203,"African Airlines International Limited","\N","Kenya","N"
204,"African International Airways","\N","Swaziland","N"
205,"Alpine Air Express","\N","United States","N"
206,"Alicante Internacional Airlines","\N","Spain","N"
207,"Aba Air","\N","Czech Republic","N"
208,"Airblue","\N","Pakistan","Y"
209,"Airmark Aviation","\N","Thailand","N"
210,"Airlift International","\N","United States","Y"
211,"Airest","\N","Estonia","N"
212,"Air Baffin","\N","Canada","N"
213,"Air Bandama","\N","Ivory Coast","N"
214,"Air Berlin","\N","Germany","Y"
215,"Air Brousse","\N","Canada","N"
216,"Air Contractors","\N","Ireland","N"
217,"Air Illinois","\N","United States","N"
218,"Air India Limited","\N","India","Y"
219,"Air Inter Gabon","\N","Gabon","N"
220,"Air Bourbon","\N","Reunion","Y"
221,"Air Atlanta Icelandic","\N","Iceland","Y"
222,"Air Inuit","\N","Canada","N"
223,"Air Sureste","\N","Spain","N"
224,"Air Srpska","\N","Bosnia and Herzegovina","N"
225,"Air Tahiti Nui","\N","France","Y"
226,"Airvias S/A Linhas Aereas","\N","Brazil","N"
227,"Aero Services Executive","\N","France","N"
228,"Atlantic Island Airways","\N","Canada","N"
229,"Aircruising Australia","\N","Australia","N"
230,"Aircrew Check and Training Australia","\N","Australia","N"
231,"Arkia Israel Airlines","\N","Israel","Y"
232,"A J Services","\N","United Kingdom","N"
233,"Aero JBR","\N","Mexico","N"
234,"Aero Jet Express","\N","Mexico","N"
235,"Avia Consult Flugbetriebs","\N","Austria","N"
236,"Ameristar Jet Charter","\N","United States","N"
237,"A2 Jet Leasing","\N","United States","N"
238,"Allied Air","\N","Nigeria","N"
239,"Air Jamaica","\N","Jamaica","Y"
240,"Air One","\N","Italy","Y"
241,"Air Sahara","\N","India","Y"
242,"Air Malta","\N","Malta","Y"
243,"Aeroejecutivo","\N","Mexico","N"
244,"Aero Jets Corporativos","\N","Mexico","N"
245,"Aeroejecutivos Colombia","\N","Colombia","N"
246,"Amerijet International","\N","United States","N"
247,"Air Jetsul","\N","Portugal","N"
248,"ANA & JP Express","\N","Japan","N"
249,"Alpha Jet International","\N","United States","N"
250,"Air Japan","\N","Japan","Y"
251,"Ajet","\N","Cyprus","N"
252,"Air Korea Co. Ltd.","\N","Republic of Korea","Y"
253,"Air Livonia","\N","Estonia","N"
254,"Air BC","\N","Canada","N"
255,"Air Fret Senegal","\N","Senegal","N"
256,"Air Jamahiriya Company","\N","Libya","N"
257,"Aktjubavia","\N","Kazakhstan","N"
258,"Arca Aerovias Colombianas Ltda.","\N","Colombia","N"
259,"Anikay Air Company","\N","Kyrgyzstan","N"
260,"Akhal","\N","Turkmenistan","N"
261,"Aeromilenio","\N","Mexico","N"
262,"Aklak Air","\N","Canada","N"
263,"Air Kiribati","\N","Kiribati","Y"
264,"Alkan Air","\N","Canada","N"
265,"Angkor Airways","\N","Cambodia","N"
266,"Air Nippon Network Co. Ltd.","\N","Japan","N"
267,"AK Navigator LLC","\N","Kazakhstan","N"
268,"Aero Albatros","\N","Mexico","N"
269,"Albion Aviation","\N","United Kingdom","N"
270,"Aeroalas Colombia","\N","Colombia","N"
271,"Allied Command Europe (Mobile Force)","\N","Belgium","N"
272,"Aerotaxis Albatros","\N","Mexico","N"
273,"American Flyers","\N","United States","N"
274,"Aero Coach Aviation","\N","United States","N"
275,"Atlantic Southeast Airlines","\N","United States","N"
276,"ACM Air Charter","\N","Germany","N"
277,"Air Logistics","\N","United States","N"
278,"Aerovallarta","\N","Mexico","N"
279,"Air ALM","\N","Netherlands Antilles","N"
280,"Air Lincoln","\N","United States","N"
281,"America West Airlines","\N","United States","Y"
282,"Air Wisconsin","\N","United States","Y"
283,"Aerotransporte de Carga Union","\N","Mexico","N"
284,"Aero Taxis Cessna","\N","Mexico","N"
285,"Arizona Express Airlines","\N","United States","N"
286,"Tatarstan Airlines","\N","Russia","Y"
287,"Allegheny Commuter Airlines","\N","United States","Y"
288,"Alpliner AG","\N","Switzerland","N"
289,"Altair Aviation (1986)","\N","Canada","N"
290,"Air Luxor STP","\N","Sao Tome and Principe","N"
291,"Alas de Venezuela","\N","Venezuela","N"
292,"Alas Nacionales","\N","ALNACIONAL","N"
293,"Alyeska Air Service","\N","United States","N"
294,"Alta Flights (Charters) Ltd.","\N","Canada","N"
295,"Air Sunshine","\N","United States","Y"
296,"ATMA","\N","Kazakhstan","N"
297,"Aerolineas Medellin","\N","Colombia","N"
298,"Ameriflight","\N","United States","N"
299,"Air Libert","\N","France","Y"
300,"Air Lithuania","\N","Lithuania","N"
301,"Air Minas Linhas A","\N","Brazil","N"
302,"Alan Mann Helicopters Ltd.","\N","United Kingdom","N"
303,"Air Maldives","\N","Maldives","N"
304,"Aviation Amos","\N","Canada","N"
305,"Amerer Air","\N","Austria","N"
306,"Air Malawi","\N","Malawi","Y"
307,"Aeroputul International Marculesti","\N","Moldova","N"
308,"Air Montenegro","\N","Montenegro","N"
309,"Air Montreal (Air Holdings Inc.)","\N","Canada","N"
310,"Aero Transporte S.A. (ATSA)","\N","Peru","N"
311,"Aeromedicare Ltd.","\N","United Kingdom","N"
312,"Air Sicilia","\N","Italy","Y"
313,"Air Specialties Corporation","\N","United States","N"
314,"Air Muskoka","\N","Canada","N"
315,"ATA Airlines","\N","United States","Y"
316,"Air Macau","\N","Macao","Y"
317,"AMC Airlines","\N","Egypt","Y"
318,"Air Midwest","\N","United States","N"
319,"Air Seychelles","\N","Seychelles","Y"
320,"Air Sofia","\N","Bulgaria","N"
321,"AeroMéxico","\N","Mexico","Y"
322,"Air Ambar","\N","Dominican Republic","N"
323,"Amiya Airline","\N","Nigeria","N"
324,"All Nippon Airways","ANA All Nippon Airways","Japan","Y"
325,"Air Navigation And Trading Co. Ltd.","\N","United Kingdom","N"
326,"Anglo Cargo","\N","United Kingdom","N"
327,"Air Nostrum","\N","Spain","Y"
328,"Air Niugini","\N","Papua New Guinea","Y"
329,"Air Arabia","\N","United Arab Emirates","Y"
330,"Air Canada","\N","Canada","Y"
331,"Airport Bratsk","\N","Russia","N"
332,"Air Wings","\N","Moldova","N"
333,"Air Baltic","\N","Latvia","Y"
334,"Alajnihah for Air Transport","\N","Libya","N"
335,"Air Atlantic (Nig) Limited","\N","Nigeria","N"
336,"Air Nippon","\N","Japan","Y"
337,"Antares Airtransport","\N","ANTARES","N"
338,"Airnorth","\N","Australia","Y"
339,"Aerol","\N","Colombia","N"
340,"Andes Lineas Aereas","\N","Argentina","N"
341,"Air North Charter - Canada","\N","Canada","Y"
342,"Air Nevada","\N","United States","N"
343,"AOM French Airlines","\N","France","N"
344,"Aviacion Del Noroeste","\N","AVINOR","N"
345,"Air New Zealand","\N","New Zealand","Y"
346,"Avia Jaynar","\N","Kazakhstan","N"
347,"Aero Servicios Empresariales","\N","Mexico","N"
348,"Alcon Servicios Aereos","\N","ALCON","N"
349,"AVCOM","\N","Russia","N"
350,"Aero Vodochody","\N","Czech Republic","N"
351,"Air One Executive","\N","Italy","N"
352,"Atair Pty Ltd.","\N","South Africa","N"
353,"Aero VIP","\N","Argentina","N"
354,"Aeromundo Ejecutivo","\N","Mexico","N"
355,"Aerolinea Muri","\N","Mexico","N"
356,"Astoria","\N","ASTORIA","N"
357,"Aero Rent JSC","\N","Russia","N"
358,"Aeronord-Grup","\N","Moldova","N"
359,"Aeroatlantico Colombia","\N","Colombia","N"
360,"Angkor Airlines","\N","Cambodia","N"
361,"Aero Entreprise","\N","France","N"
362,"As","\N","COMPANY AS","N"
363,"Aeropiloto","\N","Portugal","N"
364,"Aeroenlaces Nacionales","\N","Mexico","N"
365,"Aerovis Airlines","\N","Ukraine","N"
366,"Avjet International (FZE)","\N","United Arab Emirates","N"
367,"Aerovista Gulf Express","\N","United Arab Emirates","N"
368,"Air Vegas","\N","United States","N"
369,"Almaver","\N","Mexico","N"
370,"Afro International Ent. Limited","\N","Nigeria","N"
371,"Alitalia Express","\N","Italy","Y"
372,"Asia Overnight Express","\N","Philippines","N"
373,"Air Tractor","\N","Croatia","N"
374,"Aero Vision","\N","France","N"
375,"Aerotaxi Del Valle","\N","Colombia","N"
376,"Air Park Aviation Ltd.","\N","Canada","N"
